1,Severnobanatski okrug
2,Sremski okrug
3,Raški okrug
4,Podunavski okrug
5,Zapadnobački okrug
6,Braničevski okrug
7,Rasinski okrug
8,Srednjobanatski okrug
9,Nišavski okrug
10,Južnobanatski okrug
11,Zlatiborski okrug
12,Šumadijski okrug
13,Pirotski okrug
14,Pomoravski okrug
15,Mačvanski okrug
16,Severnobački okrug
17,Južnobački okrug
18,Kolubarski okrug
19,Kosovskomitrovački okrug
20,Grad Beograd
21,Toplički okrug
22,Kosovski okrug
23,Moravički okrug
24,Zaječarski okrug
25,Pčinjski okrug
26,Jablanički okrug
27,Borski okrug
28,Kosovskopomoravski okrug
